"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NINCR","Net Increment","DEU","Germany","2010","2010","M3","Cubic metres","3","Thousands",,,113306.746,,
"NINCR","Net Increment","DEU","Germany","2011","2011","M3","Cubic metres","3","Thousands",,,113107.826,,
"NINCR","Net Increment","DEU","Germany","2012","2012","M3","Cubic metres","3","Thousands",,,112886.66,,
"NINCR","Net Increment","DEU","Germany","2013","2013","M3","Cubic metres","3","Thousands",,,112913.647,,
"NINCR","Net Increment","DEU","Germany","2014","2014","M3","Cubic metres","3","Thousands",,,108581.821,"B","Break"
"NINCR","Net Increment","DEU","Germany","2015","2015","M3","Cubic metres","3","Thousands",,,108490.247,,
"NINCR","Net Increment","DEU","Germany","2016","2016","M3","Cubic metres","3","Thousands",,,108689.274,,
"NINCR","Net Increment","DEU","Germany","2017","2017","M3","Cubic metres","3","Thousands",,,108704,,
"NINCR","Net Increment","DEU","Germany","2018","2018","M3","Cubic metres","3","Thousands",,,106642,,
"NINCR","Net Increment","DEU","Germany","2019","2019","M3","Cubic metres","3","Thousands",,,106506.16,,
"NINCR","Net Increment","SWE","Sweden","1990","1990","M3","Cubic metres","3","Thousands",,,91951.456,,
"NINCR","Net Increment","SWE","Sweden","2000","2000","M3","Cubic metres","3","Thousands",,,86682.645,,
"NINCR","Net Increment","SWE","Sweden","2005","2005","M3","Cubic metres","3","Thousands",,,88572.823,,
"NINCR","Net Increment","SWE","Sweden","2010","2010","M3","Cubic metres","3","Thousands",,,95864.389,,
"NINCR","Net Increment","SWE","Sweden","2015","2015","M3","Cubic metres","3","Thousands",,,94842.502,,
"NINCR","Net Increment","ITA","Italy","1990","1990","M3","Cubic metres","3","Thousands",,,27779,,
"NINCR","Net Increment","ITA","Italy","1995","1995","M3","Cubic metres","3","Thousands",,,28427.724,,
"NINCR","Net Increment","ITA","Italy","2000","2000","M3","Cubic metres","3","Thousands",,,30162,,
"NINCR","Net Increment","ITA","Italy","2005","2005","M3","Cubic metres","3","Thousands",,,31352,,
"NINCR","Net Increment","ITA","Italy","2010","2010","M3","Cubic metres","3","Thousands",,,32433,,
"NINCR","Net Increment","ITA","Italy","2015","2015","M3","Cubic metres","3","Thousands",,,33511,,
"NINCR","Net Increment","TUR","Türkiye","2009","2009","M3","Cubic metres","3","Thousands",,,32112,,
"NINCR","Net Increment","TUR","Türkiye","2010","2010","M3","Cubic metres","3","Thousands",,,33565,,
"NINCR","Net Increment","TUR","Türkiye","2011","2011","M3","Cubic metres","3","Thousands",,,33037,,
"NINCR","Net Increment","TUR","Türkiye","2012","2012","M3","Cubic metres","3","Thousands",,,39106,,
"NINCR","Net Increment","TUR","Türkiye","2013","2013","M3","Cubic metres","3","Thousands",,,38165,,
"NINCR","Net Increment","TUR","Türkiye","2014","2014","M3","Cubic metres","3","Thousands",,,39612,,
"NINCR","Net Increment","TUR","Türkiye","2015","2015","M3","Cubic metres","3","Thousands",,,40658,,
"NINCR","Net Increment","TUR","Türkiye","2016","2016","M3","Cubic metres","3","Thousands",,,42580,,
"NINCR","Net Increment","TUR","Türkiye","2017","2017","M3","Cubic metres","3","Thousands",,,43141,,
"NINCR","Net Increment","TUR","Türkiye","2018","2018","M3","Cubic metres","3","Thousands",,,43727,,
"NINCR","Net Increment","TUR","Türkiye","2019","2019","M3","Cubic metres","3","Thousands",,,44390,,
"NINCR","Net Increment","TUR","Türkiye","2020","2020","M3","Cubic metres","3","Thousands",,,44310,,
"NINCR","Net Increment","AUT","Austria","1991","1991","M3","Cubic metres","3","Thousands",,,23470,,
"NINCR","Net Increment","AUT","Austria","1997","1997","M3","Cubic metres","3","Thousands",,,28319,,
"NINCR","Net Increment","AUT","Austria","2005","2005","M3","Cubic metres","3","Thousands",,,24763,,
"NINCR","Net Increment","AUT","Austria","2013","2013","M3","Cubic metres","3","Thousands",,,23182,,
"NINCR","Net Increment","USA","United States","1991","1991","M3","Cubic metres","3","Thousands",,,691582.81,,
"NINCR","Net Increment","USA","United States","1996","1996","M3","Cubic metres","3","Thousands",,,753078.4,,
"NINCR","Net Increment","USA","United States","2001","2001","M3","Cubic metres","3","Thousands",,,757546.88,,
"NINCR","Net Increment","USA","United States","2006","2006","M3","Cubic metres","3","Thousands",,,855258.07,,
"NINCR","Net Increment","USA","United States","2011","2011","M3","Cubic metres","3","Thousands",,,844667.39,,
"NINCR","Net Increment","USA","United States","2016","2016","M3","Cubic metres","3","Thousands",,,799774.03,,
"NINCR","Net Increment","PRT","Portugal","1990","1990","M3","Cubic metres","3","Thousands",,,18564,,
"NINCR","Net Increment","PRT","Portugal","2000","2000","M3","Cubic metres","3","Thousands",,,19054,,
"NINCR","Net Increment","PRT","Portugal","2005","2005","M3","Cubic metres","3","Thousands",,,18870,,
"NINCR","Net Increment","DNK","Denmark","2012","2012","M3","Cubic metres","3","Thousands",,,6635,,
"NINCR","Net Increment","DNK","Denmark","2013","2013","M3","Cubic metres","3","Thousands",,,6468,,
"NINCR","Net Increment","DNK","Denmark","2014","2014","M3","Cubic metres","3","Thousands",,,6856,,
"NINCR","Net Increment","DNK","Denmark","2015","2015","M3","Cubic metres","3","Thousands",,,7085,,
"NINCR","Net Increment","DNK","Denmark","2016","2016","M3","Cubic metres","3","Thousands",,,6603,,
"NINCR","Net Increment","DNK","Denmark","2017","2017","M3","Cubic metres","3","Thousands",,,6066,,
"NINCR","Net Increment","DNK","Denmark","2018","2018","M3","Cubic metres","3","Thousands",,,5593,,
"NINCR","Net Increment","DNK","Denmark","2019","2019","M3","Cubic metres","3","Thousands",,,5415,,
"NINCR","Net Increment","DNK","Denmark","2020","2020","M3","Cubic metres","3","Thousands",,,5182,,
"NINCR","Net Increment","ESP","Spain","1990","1990","M3","Cubic metres","3","Thousands",,,28700.702,,
"NINCR","Net Increment","ESP","Spain","2000","2000","M3","Cubic metres","3","Thousands",,,32089.867,,
"NINCR","Net Increment","ESP","Spain","2005","2005","M3","Cubic metres","3","Thousands",,,33784.449,,
"NINCR","Net Increment","ESP","Spain","2010","2010","M3","Cubic metres","3","Thousands",,,35479.031,,
"NINCR","Net Increment","KOR","Korea","1995","1995","M3","Cubic metres","3","Thousands",,,13017,,
"NINCR","Net Increment","KOR","Korea","2000","2000","M3","Cubic metres","3","Thousands",,,18445,,
"NINCR","Net Increment","KOR","Korea","2005","2005","M3","Cubic metres","3","Thousands",,,17202,,
"NINCR","Net Increment","KOR","Korea","2006","2006","M3","Cubic metres","3","Thousands",,,21254,,
"NINCR","Net Increment","KOR","Korea","2008","2008","M3","Cubic metres","3","Thousands",,,37005,,
"NINCR","Net Increment","KOR","Korea","2009","2009","M3","Cubic metres","3","Thousands",,,41337,,
"NINCR","Net Increment","KOR","Korea","2011","2011","M3","Cubic metres","3","Thousands",,,37910,"B","Break"
"NINCR","Net Increment","KOR","Korea","2012","2012","M3","Cubic metres","3","Thousands",,,31480,,
"NINCR","Net Increment","KOR","Korea","2013","2013","M3","Cubic metres","3","Thousands",,,33169,,
"NINCR","Net Increment","KOR","Korea","2014","2014","M3","Cubic metres","3","Thousands",,,37966,,
"NINCR","Net Increment","KOR","Korea","2015","2015","M3","Cubic metres","3","Thousands",,,30769,,
"NINCR","Net Increment","KOR","Korea","2016","2016","M3","Cubic metres","3","Thousands",,,33346,,
"NINCR","Net Increment","KOR","Korea","2017","2017","M3","Cubic metres","3","Thousands",,,29864,,
"CHANGE","Net change","USA","United States","1991","1991","M3","Cubic metres","3","Thousands",,,280632.32,,
"CHANGE","Net change","USA","United States","1996","1996","M3","Cubic metres","3","Thousands",,,283054.29,,
"CHANGE","Net change","USA","United States","2001","2001","M3","Cubic metres","3","Thousands",,,295395.36,,
"CHANGE","Net change","USA","United States","2006","2006","M3","Cubic metres","3","Thousands",,,406677.09,,
"CHANGE","Net change","USA","United States","2011","2011","M3","Cubic metres","3","Thousands",,,466576.07,,
"CHANGE","Net change","USA","United States","2016","2016","M3","Cubic metres","3","Thousands",,,418456.43,,
"NINCR","Net Increment","CHE","Switzerland","2000","2000","M3","Cubic metres","3","Thousands",,,5292,,
"NINCR","Net Increment","CHE","Switzerland","2005","2005","M3","Cubic metres","3","Thousands",,,7111,,
"NINCR","Net Increment","CHE","Switzerland","2010","2010","M3","Cubic metres","3","Thousands",,,8962.1,,
"NINCR","Net Increment","CHE","Switzerland","2015","2015","M3","Cubic metres","3","Thousands",,,9740.1,,
"NINCR","Net Increment","CHE","Switzerland","2018","2018","M3","Cubic metres","3","Thousands",,,10214.963,,
"NINCR","Net Increment","JPN","Japan","1990","1990","M3","Cubic metres","3","Thousands",,,68053,,
"NINCR","Net Increment","JPN","Japan","1995","1995","M3","Cubic metres","3","Thousands",,,74155,,
"NINCR","Net Increment","JPN","Japan","2000","2000","M3","Cubic metres","3","Thousands",,,84163,,
"NINCR","Net Increment","JPN","Japan","2005","2005","M3","Cubic metres","3","Thousands",,,86454,,
"NET_FELL","Net fellings","USA","United States","1991","1991","M3","Cubic metres","3","Thousands",,,410950.49,,
"NET_FELL","Net fellings","USA","United States","1996","1996","M3","Cubic metres","3","Thousands",,,470024.11,,
"NET_FELL","Net fellings","USA","United States","2001","2001","M3","Cubic metres","3","Thousands",,,462151.52,,
"NET_FELL","Net fellings","USA","United States","2006","2006","M3","Cubic metres","3","Thousands",,,448580.98,,
"NET_FELL","Net fellings","USA","United States","2011","2011","M3","Cubic metres","3","Thousands",,,378091.31,,
"NET_FELL","Net fellings","USA","United States","2016","2016","M3","Cubic metres","3","Thousands",,,381317.6,,
"NINCR","Net Increment","FRA","France","1990","1990","M3","Cubic metres","3","Thousands",,,82810,,
"NINCR","Net Increment","FRA","France","1991","1991","M3","Cubic metres","3","Thousands",,,84178,,
"NINCR","Net Increment","FRA","France","1992","1992","M3","Cubic metres","3","Thousands",,,85554,,
"NINCR","Net Increment","FRA","France","1993","1993","M3","Cubic metres","3","Thousands",,,86910,,
"NINCR","Net Increment","FRA","France","1994","1994","M3","Cubic metres","3","Thousands",,,88329,,
"NINCR","Net Increment","FRA","France","1995","1995","M3","Cubic metres","3","Thousands",,,89750,,
"NINCR","Net Increment","FRA","France","1996","1996","M3","Cubic metres","3","Thousands",,,91171,,
"NINCR","Net Increment","FRA","France","1997","1997","M3","Cubic metres","3","Thousands",,,92566,,
"NINCR","Net Increment","FRA","France","1998","1998","M3","Cubic metres","3","Thousands",,,92957,,
"NINCR","Net Increment","FRA","France","1999","1999","M3","Cubic metres","3","Thousands",,,93327,,
"NINCR","Net Increment","FRA","France","2002","2002","M3","Cubic metres","3","Thousands",,,90709,"B","Break"
"NINCR","Net Increment","FRA","France","2003","2003","M3","Cubic metres","3","Thousands",,,92106,,
"NINCR","Net Increment","FRA","France","2004","2004","M3","Cubic metres","3","Thousands",,,93574,,
"NINCR","Net Increment","FRA","France","2009","2009","M3","Cubic metres","3","Thousands",,,81231,"B","Break"
"NINCR","Net Increment","FRA","France","2010","2010","M3","Cubic metres","3","Thousands",,,82664,,
"NINCR","Net Increment","FRA","France","2011","2011","M3","Cubic metres","3","Thousands",,,83129,,
"NINCR","Net Increment","FRA","France","2012","2012","M3","Cubic metres","3","Thousands",,,83093,,
"NINCR","Net Increment","FRA","France","2013","2013","M3","Cubic metres","3","Thousands",,,83031,,
"NINCR","Net Increment","FRA","France","2014","2014","M3","Cubic metres","3","Thousands",,,82040.496,,
"NINCR","Net Increment","FRA","France","2015","2015","M3","Cubic metres","3","Thousands",,,81022.916,,
"NINCR","Net Increment","FRA","France","2016","2016","M3","Cubic metres","3","Thousands",,,80704.499,,
"NINCR","Net Increment","FRA","France","2017","2017","M3","Cubic metres","3","Thousands",,,78784.323,,
"NINCR","Net Increment","IRL","Ireland","2010","2010","M3","Cubic metres","3","Thousands",,,4953,,
"NINCR","Net Increment","IRL","Ireland","2012","2012","M3","Cubic metres","3","Thousands",,,7282,,
"NINCR","Net Increment","IRL","Ireland","2013","2013","M3","Cubic metres","3","Thousands",,,7282,,
"NINCR","Net Increment","IRL","Ireland","2014","2014","M3","Cubic metres","3","Thousands",,,7282,,
"NINCR","Net Increment","IRL","Ireland","2015","2015","M3","Cubic metres","3","Thousands",,,7282,,
"NINCR","Net Increment","IRL","Ireland","2016","2016","M3","Cubic metres","3","Thousands",,,7282,,
"NINCR","Net Increment","IRL","Ireland","2017","2017","M3","Cubic metres","3","Thousands",,,8239.07,,
"NINCR","Net Increment","IRL","Ireland","2018","2018","M3","Cubic metres","3","Thousands",,,8239.07,,
"NINCR","Net Increment","IRL","Ireland","2019","2019","M3","Cubic metres","3","Thousands",,,8239.07,,
"NINCR","Net Increment","IRL","Ireland","2020","2020","M3","Cubic metres","3","Thousands",,,8239.07,,
"FELL_TOT","Fellings","CRI","Costa Rica","1990","1990","M3","Cubic metres","3","Thousands",,,413.4,,
"FELL_TOT","Fellings","CRI","Costa Rica","1995","1995","M3","Cubic metres","3","Thousands",,,615.6,,
"FELL_TOT","Fellings","CRI","Costa Rica","2000","2000","M3","Cubic metres","3","Thousands",,,205,,
"FELL_TOT","Fellings","CRI","Costa Rica","2005","2005","M3","Cubic metres","3","Thousands",,,582.5,,
"FELL_TOT","Fellings","CRI","Costa Rica","2006","2006","M3","Cubic metres","3","Thousands",,,703.7,,
"FELL_TOT","Fellings","CRI","Costa Rica","2007","2007","M3","Cubic metres","3","Thousands",,,538.3,,
"FELL_TOT","Fellings","CRI","Costa Rica","2008","2008","M3","Cubic metres","3","Thousands",,,576,,
"FELL_TOT","Fellings","CRI","Costa Rica","2009","2009","M3","Cubic metres","3","Thousands",,,490.5,,
"FELL_TOT","Fellings","CRI","Costa Rica","2010","2010","M3","Cubic metres","3","Thousands",,,351.1,,
"FELL_TOT","Fellings","CRI","Costa Rica","2011","2011","M3","Cubic metres","3","Thousands",,,541,,
"FELL_TOT","Fellings","CRI","Costa Rica","2012","2012","M3","Cubic metres","3","Thousands",,,555,,
"FELL_TOT","Fellings","CRI","Costa Rica","2013","2013","M3","Cubic metres","3","Thousands",,,541,,
"FELL_TOT","Fellings","CRI","Costa Rica","2014","2014","M3","Cubic metres","3","Thousands",,,558,,
"FELL_TOT","Fellings","CRI","Costa Rica","2015","2015","M3","Cubic metres","3","Thousands",,,522,,
"FELL_TOT","Fellings","CRI","Costa Rica","2016","2016","M3","Cubic metres","3","Thousands",,,490,,
"FELL_TOT","Fellings","CRI","Costa Rica","2017","2017","M3","Cubic metres","3","Thousands",,,391,,
"FELL_TOT","Fellings","CRI","Costa Rica","2018","2018","M3","Cubic metres","3","Thousands",,,549,,
"FELL_TOT","Fellings","CRI","Costa Rica","2019","2019","M3","Cubic metres","3","Thousands",,,384,,
"FELL_TOT","Fellings","CRI","Costa Rica","2020","2020","M3","Cubic metres","3","Thousands",,,455,,
