Entity,Products,CO2 (in Tonnes)
Australia,cattle_meat,1767338.3
Australia,oilseed_products,4969793.6
Australia,other_cereals,89034.21
Australia,other_crops,873074.76
Australia,other_meat_products,0.0
Australia,plant_fibres,101078.23
Australia,rice,879389.07
Australia,sugar,152323.31
Australia,veg_fruits_nuts,1175708.59
Australia,wheat,41496.59
Austria,cattle_meat,750326.26
Austria,oilseed_products,959211.81
Austria,other_cereals,30146.2
Austria,other_crops,226532.92
Austria,other_meat_products,0.0
Austria,plant_fibres,24966.59
Austria,rice,184118.42
Austria,sugar,33453.32
Austria,veg_fruits_nuts,392507.17
Austria,wheat,15495.06
Belgium,cattle_meat,1666691.48
Belgium,oilseed_products,4135304.8
Belgium,other_cereals,86200.38
Belgium,other_crops,1082828.03
Belgium,other_meat_products,0.0
Belgium,plant_fibres,106014.55
Belgium,rice,458813.42
Belgium,sugar,85687.04
Belgium,veg_fruits_nuts,1633892.46
Belgium,wheat,50684.96
Brazil,cattle_meat,466297528.39
Brazil,oilseed_products,7542319.31
Brazil,other_cereals,2329114.42
Brazil,other_crops,5085772.61
Brazil,other_meat_products,0.0
Brazil,plant_fibres,1130639.56
Brazil,rice,10277208.35
Brazil,sugar,6621832.43
Brazil,veg_fruits_nuts,11853222.16
Brazil,wheat,3112053.79
Bulgaria,cattle_meat,74554.72
Bulgaria,oilseed_products,287585.56
Bulgaria,other_cereals,5368.4
Bulgaria,other_crops,93859.3
Bulgaria,other_meat_products,0.0
Bulgaria,plant_fibres,4320.7
Bulgaria,rice,32811.58
Bulgaria,sugar,12265.05
Bulgaria,veg_fruits_nuts,65247.88
Bulgaria,wheat,2691.42
Canada,cattle_meat,2665047.89
Canada,oilseed_products,3624347.85
Canada,other_cereals,110420.51
Canada,other_crops,2009818.41
Canada,other_meat_products,0.0
Canada,plant_fibres,95454.95
Canada,rice,702091.09
Canada,sugar,154281.65
Canada,veg_fruits_nuts,1593326.98
Canada,wheat,70277.88
China,cattle_meat,12387036.52
China,oilseed_products,118397858.5
China,other_cereals,460586.3
China,other_crops,15895193.43
China,other_meat_products,0.0
China,plant_fibres,1250616.33
China,rice,5441660.44
China,sugar,1486521.62
China,veg_fruits_nuts,12765543.28
China,wheat,207476.65
Croatia,cattle_meat,117526.96
Croatia,oilseed_products,185067.73
Croatia,other_cereals,5155.45
Croatia,other_crops,43818.45
Croatia,other_meat_products,0.0
Croatia,plant_fibres,3297.63
Croatia,rice,28201.6
Croatia,sugar,6320.21
Croatia,veg_fruits_nuts,50624.78
Croatia,wheat,2741.82
Cyprus,cattle_meat,65817.34
Cyprus,oilseed_products,87130.51
Cyprus,other_cereals,3783.88
Cyprus,other_crops,12946.65
Cyprus,other_meat_products,0.0
Cyprus,plant_fibres,798.44
Cyprus,rice,19470.54
Cyprus,sugar,3942.72
