,Year,Living Planet Index
308,1985,69.753116
309,1986,68.125665
310,1987,66.32249
311,1988,64.5467
312,1989,63.574344
313,1990,62.68112
314,1991,61.60914
315,1992,60.11985
316,1993,58.109295
317,1994,56.2009
318,1995,54.0361
319,1996,53.04214
320,1997,51.750076
321,1998,50.466454000000006
322,1999,48.66438
323,2000,47.221538
324,2001,45.67137
325,2002,44.498393
326,2003,43.515655
327,2004,42.92783
328,2005,42.203152
329,2006,41.295153
330,2007,40.142804
331,2008,38.719392
332,2009,36.877126
333,2010,35.15315
334,2011,33.44104
335,2012,32.37109
336,2013,31.738263
337,2014,31.66902
338,2015,31.627533000000003
339,2016,31.14541
340,2017,30.88527
341,2018,30.897567
